election_id,prefecture,district_no,order_in_district,elected,result_mark,name_display,name_kanji,name_kana,age,gender,party_raw,party,party_is_certified,status,occupation,votes,dual_candidacy,sekihai_rate,sekihai_excluded,source_page
r03-10-31,北海道,1,1,false,落,小林悟,,こばやしさとる,57,,日本維新の会,日本維新の会,true,新,医師,35652,true,30.140,false,106
r03-10-31,北海道,1,2,true,当,道下大樹,,みちしただいき,45,,立憲民主党,立憲民主党,true,前,政党役員,118286,true,100.000,false,106
r03-10-31,北海道,1,3,false,落,船橋利実,,ふなはしとしみつ,60,,自由民主党,自由民主党,true,前,選挙区支部長,106985,true,90.446,false,106
r03-10-31,北海道,2,1,false,落,髙橋ゆうすけ,髙橋祐介,たかはし,41,,自由民主党,自由民主党,true,新,自由民主党北海道第二選挙区支部長,89745,true,84.819,false,106
r03-10-31,北海道,2,2,true,当,松木けんこう,松木謙公,まつき,62,,立憲民主党,立憲民主党,true,前,会社役員,105807,true,100.000,false,106
r03-10-31,北海道,2,3,false,落,山崎泉,,やまざきいずみ,48,,日本維新の会,日本維新の会,true,新,会社役員,41076,true,38.821,false,106
r03-10-31,北海道,3,1,true,当,高木ひろひさ,高木宏壽,たかぎ,61,,自由民主党,自由民主党,true,元,選挙区支部長,116917,true,100.000,false,106
r03-10-31,北海道,3,2,false,落,荒井ゆたか,荒井優,あらい,46,,立憲民主党,立憲民主党,true,新,学校法人役員,112535,true,96.252,false,106
r03-10-31,北海道,3,3,false,落,こわだやすふみ,小和田康文,,51,,日本維新の会,日本維新の会,true,新,行政書士,32340,true,27.660,false,106
r03-10-31,北海道,4,1,false,落,おおつきくれは,大築紅葉,,38,,立憲民主党,立憲民主党,true,新,立憲民主党北海道第４区総支部代表,108630,true,99.363,false,106
r03-10-31,北海道,4,2,true,当,中村ひろゆき,中村裕之,なかむら,60,,自由民主党,自由民主党,true,前,選挙区支部長,109326,true,100.000,false,106
r03-10-31,北海道,5,1,false,落,大津しんたろう,大津伸太郎,おおつ,56,,（無所属）,無所属,false,新,無職,8520,false,,false,106
r03-10-31,北海道,5,2,true,当,和田よしあき,和田義明,わだ,50,,自由民主党,自由民主党,true,前,選挙区支部長,139950,true,100.000,false,106
r03-10-31,北海道,5,3,false,落,橋本みか,橋本美香,はしもと,51,,日本共産党,日本共産党,true,新,政党職員,16758,false,,false,106
r03-10-31,北海道,5,4,false,落,池田まき,池田真紀,いけだ,49,,立憲民主党,立憲民主党,true,前,政党役員,111366,true,79.575,false,106
r03-10-31,北海道,6,1,false,落,さいとう忠行,齊藤忠行,ただゆき,30,,ＮＨＫと裁判してる党弁護士法７２条違反で,ＮＨＫと裁判してる党弁護士法７２条違反で,true,新,政治団体代表,9776,true,,true,106
r03-10-31,北海道,6,2,false,落,にしかわ将人,西川将人,まさひと,52,,立憲民主党,立憲民主党,true,新,政党役員,93403,true,72.591,false,106
r03-10-31,北海道,6,3,true,当,東くによし,東国幹,あずま,53,,自由民主党,自由民主党,true,新,自由民主党北海道第六選挙区支部長,128670,true,100.000,false,106
r03-10-31,北海道,7,1,true,当,伊東よしたか,伊東良孝,いとう,72,,自由民主党,自由民主党,true,前,自由民主党北海道第七選挙区支部支部長,80797,true,100.000,false,106
r03-10-31,北海道,7,2,false,落,しのだ奈保子,中川奈保子,なおこ,49,,立憲民主党,立憲民主党,true,新,弁護士,45563,true,56.391,false,106
r03-10-31,北海道,7,3,false,落,石川明美,,いしかわあけみ,70,,日本共産党,日本共産党,true,新,政党役員,12913,false,,false,106
r03-10-31,北海道,8,1,true,当,おおさか誠二,逢坂誠二,せいじ,62,,立憲民主党,立憲民主党,true,前,政党役員,112857,true,100.000,false,106
r03-10-31,北海道,8,2,false,落,前田かずお,前田一男,まえだ,55,,自由民主党,自由民主党,true,元,選挙区支部長,101379,true,89.829,false,106
r03-10-31,北海道,9,1,true,当,山岡達丸,,やまおかたつまる,42,,立憲民主党,立憲民主党,true,前,政党役員,113512,true,100.000,false,107
